catalognumber,imageID,dsize,lndsize,ecoregion,population,pairs,type,agescore,sex,stateprovince,county,year,PCNM1,lat,lon,scientificname,seas,temp
MSB_144168,MSB_144168_dor,3.334557587,1.204340013,Pacific,MainlandP,MainlandP,Mainland,9,male,Yukon Territory,,2005,0.024691911,61.1,-135.2934,Microtus pennsylvanicus,116.68,-25.3
MSB_144447,MSB_144447_dor,3.450413932,1.238494204,Pacific,MainlandP,MainlandP,Mainland,11,female,Yukon Territory,,2005,0.015768957,63.8413,-135.4614,Microtus pennsylvanicus,136.64,-32.3
MSB_144466,MSB_144466_dor,3.411901401,1.227269731,Pacific,MainlandP,MainlandP,Mainland,9,male,Yukon Territory,,2005,0.015768957,63.8413,-135.4614,Microtus pennsylvanicus,136.64,-32.3
MSB_164893,MSB_164893_dor,3.550889918,1.267198253,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164898,MSB_164898_dor,3.484495744,1.24832334,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164937,MSB_164937_dor,3.450531065,1.238528151,Pacific,MainlandP,MainlandP,Mainland,9,male,Alaska,,1983,0.137626955,61.3273,-149.2802,Microtus pennsylvanicus alcorni,78.12,-15.1
MSB_164938,MSB_164938_dor,3.521237555,1.258812506,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1983,0.137626955,61.3273,-149.2802,Microtus pennsylvanicus alcorni,78.12,-15.1
MSB_269616,MSB_269616_dor,3.377209151,1.217049673,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1951,0.137173408,61.8795,-151.2665,Microtus pennsylvanicus,104.91,-20.3
UAM_34176,UAM_34176_dor,3.58493961,1.276741629,Pacific,MainlandP,MainlandP,Mainland,12,male,Yukon Territory,,1995,0.021917435,60.03,-135,Microtus pennsylvanicus,95.63,-22
UAM_48622,UAM_48622_dor,3.378414251,1.217406443,Pacific,MainlandP,MainlandP,Mainland,10,female,British Columbia,,1995,0.032868959,59.70638889,-133.59,Microtus pennsylvanicus,95.88,-21.4
UAM_48623,UAM_48623_dor1,3.260964239,1.18202293,Pacific,MainlandP,MainlandP,Mainland,8,male,British Columbia,,1995,0.032868959,59.70638889,-133.59,Microtus pennsylvanicus,95.88,-21.4
UAM_58898,UAM_58898_dor1,3.704838569,1.309639687,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58900,UAM_58900_dor1,3.659766523,1.297399354,Pacific,MainlandP,MainlandP,Mainland,9,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_59826,UAM_59826_dor,3.633023734,1.290065286,Pacific,MainlandP,MainlandP,Mainland,11,male,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_59827,UAM_59827_dor,3.551519506,1.267375542,Pacific,MainlandP,MainlandP,Mainland,10,female,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_59832,UAM_59832_dor,3.579484134,1.275218693,Pacific,MainlandP,MainlandP,Mainland,7,female,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_59833,UAM_59833_dor,3.475329595,1.245689322,Pacific,MainlandP,MainlandP,Mainland,9,male,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_59837,UAM_59837_dor,3.462261795,1.241922073,Pacific,MainlandP,MainlandP,Mainland,8,male,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_64699,UAM_64699_dor,3.378053631,1.217299695,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,2002,-0.153119129,61.45694444,-143.7961111,Microtus pennsylvanicus,95.97,-19.3
UAM_64700,UAM_64700_dor,3.373222654,1.215868565,Pacific,MainlandP,MainlandP,Mainland,7,female,Alaska,,2002,-0.153119129,61.45694444,-143.7961111,Microtus pennsylvanicus,95.97,-19.3
